[API Trapper      (1928: f60)] Recording in 32-bit mode: C:\Program Files (x86)\Internet Explorer\iexplore.exe
[API Trapper      ( fc8:1264)] Recording in 64-bit mode: C:\Program Files\Internet Explorer\IEXPLORE.EXE
[API Trapper      (1eb4:1b34)] Recording in 32-bit mode: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE
[Network Analyzer (1eb4: b40)] ------------------------------------------------------------------------------------------
[Network Analyzer (1eb4: b40)] Load Network Traffic Analyzers:
[Network Analyzer (1eb4: b40)]     Analyzer Module: WPLUS (value=)
[Network Analyzer (1eb4: b40)]     Analyzer Module: WebBase (value=GetHttpProtocolAnalyzer:api_http_filter.dll)
[Network Analyzer (1eb4: b40)]     + Network Analyzer: api_http_filter.dll @ GetHttpProtocolAnalyzer Loaded!
[Network Analyzer (1eb4: b40)]     + Interception Auditors: WinInetWplusInterceptionAudit:api_http_filter.dll
[Network Analyzer (1eb4: b40)]     Analyzer Module: QTWeb (value=GetWebSocketProtocolAnalyzer:WebSocketAnalyzer.dll)
[Network Analyzer (1eb4: b40)]     + Network Analyzer: WebSocketAnalyzer.dll @ GetWebSocketProtocolAnalyzer Loaded!
[Network Analyzer (1eb4: b40)]     Analyzer Module: local_server (value=)
[Network Analyzer (1eb4: b40)] ------------------------------------------------------------------------------------------
[Network Analyzer (1eb4:12dc)] Address lookup for PLRaju_Dell = 192.168.0.51
[Network Analyzer (1eb4: b40)] Address lookup for PLRaju_Dell = 192.168.0.51
[Network Analyzer (1eb4: b40)] Request Connection: Remote Server @ 18.222.58.52:80   (Service=)  (Sid=  1)  PROXIED!
[Web Request      (1eb4:12dc)] "GET /example0/page3.php"   
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Client -> Server @ : 277 bytes (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Server -> Client : 255 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Server -> Client : 1199 bytes  (Service=HTTP)
[Web Request      (1eb4:12dc)] "GET /web_css/generalFrame.css"   
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Client -> Server @ : 297 bytes (Service=HTTP)
[Network Analyzer (1eb4:1630)] Address lookup for PLRaju_Dell = 192.168.0.51
[Network Analyzer (1eb4: b40)] Address lookup for PLRaju_Dell = 192.168.0.51
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Server -> Client : 1322 bytes  (Service=HTTP)
[Web Request      (1eb4:12dc)] "GET /web_pics/logo_capgemini.png"   
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Client -> Server @ : 348 bytes (Service=HTTP)
[Network Analyzer (1eb4: b40)] Request Connection: Remote Server @ 18.222.58.52:80   (Service=)  (Sid=  2)  PROXIED!
[Web Request      (1eb4:12dc)] "GET /web_pics/logo_sogeti.png"   
[Network Analyzer (1eb4:12dc)]   (Sid:  2) Client -> Server @ : 345 bytes (Service=HTTP)
[Network Analyzer (1eb4:1630)] Request Connection: Remote Server @ 18.222.58.52:80   (Service=)  (Sid=  3)  PROXIED!
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Server -> Client : 313 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Server -> Client : 16247 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  2) Server -> Client : 310 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  2) Server -> Client : 3355 bytes  (Service=HTTP)
[Web Request      (1eb4:12dc)] "GET /web_pics/pexels-photo-370799.jpeg"   
